step,r_s,elocal,weight,weightvar,elocalvar,eref,tau,popstep
36,8,-1.1433840731245113,1.0013331920420738,0.05015950746645545,0.023200155128253897,-1.1438893697391592,0.4,10
37,8,-1.1427031824561604,1.0013946964224716,0.05776433603060181,0.023299078838863597,-1.144042921254498,0.4,10
38,8,-1.1426086419810595,1.0012753565389072,0.06506139481424054,0.022956767703381353,-1.1437449693189579,0.4,10
39,8,-1.142485087745209,1.0012607736388752,0.07207274638125133,0.023391807961101848,-1.1437085582404947,0.4,10
40,8,-1.1424525048780554,1.0012465597814129,2.220446049250313e-16,0.022816606697311087,-1.1436730680896594,0.4,10
41,8,-1.143618082441284,1.0013741075935747,0.009255166039519395,0.023871958909086693,-1.1439915203417814,0.4,10
42,8,-1.1433702846533689,1.0013009859032467,0.018418585959249167,0.023981355687348944,-1.1438089602984725,0.4,10
43,8,-1.1424112953308367,1.0011375985667,0.02741996079956939,0.024440460975726636,-1.1434009893919577,0.4,10
44,8,-1.1422030232397513,1.000976576182895,0.03625174310587076,0.024257879320471194,-1.1429988585190463,0.4,10
45,8,-1.142852908045912,1.0011301405972541,0.044881113396454786,0.024535854330721637,-1.1433823655853108,0.4,10
46,8,-1.1425526985301047,1.0012599042844395,0.05331275593841109,0.02401089858585689,-1.143706387590161,0.4,10
47,8,-1.1428890317355407,1.0013254260350302,0.0616062268600342,0.024123520618078327,-1.1438699804958468,0.4,10
48,8,-1.1427603728281088,1.0014145080771475,0.06965470918095136,0.024240779468823147,-1.1440923809200327,0.4,10
49,8,-1.1430712511187096,1.0014739338699954,0.07719402196902592,0.023695707577982887,-1.14424073115168,0.4,10
50,8,-1.1424340550784187,1.0014270195199662,2.220446049250313e-16,0.023890087321604594,-1.1441236151506162,0.4,10
51,8,-1.1447473115599474,1.001759902001721,0.009458554898109347,0.023829631998074093,-1.144954497384427,0.4,10
52,8,-1.1443338295417587,1.0017186302346444,0.018447101570589576,0.023640845754299214,-1.1448514971116057,0.4,10
53,8,-1.1435118676734146,1.0015405845651848,0.02706531480025696,0.0236570962655318,-1.1444071071180066,0.4,10
54,8,-1.14287365600548,1.0013116147622656,0.03543937408984963,0.023766266589705102,-1.1438354977800993,0.4,10
55,8,-1.1419213817228875,1.001052700663072,0.04363665750868554,0.023674503373492903,-1.1431889768182495,0.4,10
