step,elocal,weight,weightvar,elocalvar,eref,tau
60,(-2.927550420503618-0.004660578540959369j),(0.9985263889226016+3.2844907377344464e-05j),0.0061731107929527745,0.6149552207245361,(-2.929447888344835-0.004651567108316368j),0.01
61,(-2.4373053927232813-0.006294078487516093j),(0.995112077037378+1.625950604404716e-05j),0.006539093250519721,0.6554867971624648,(-2.439457108852718-0.006285504271556068j),0.01
62,(-1.9684349289116565-0.0028243384540227656j),(0.9953209985273999-3.443148621845271e-05j),0.006349054162353738,0.6354482724352936,(-1.9704589420731313-0.0028261694182112516j),0.01
63,(-1.7957580526139179+0.0020508499444395326j),(0.9982613039926286-4.8638986495109726e-05j),0.0036893068695066527,0.3685618841280831,(-1.7964381314105613+0.002046200798092279j),0.01
64,(-2.1749516628512056+0.006147478469016592j),(1.0038082125003647-4.1221238142850916e-05j),0.005667338238264549,0.5621502333029706,(-2.1765361773498295+0.006152686240864564j),0.01
65,(-2.6524733919897434+0.005880228243683102j),(1.0048087593774753+2.890470534263534e-06j),0.008798289864708084,0.8675109403567677,(-2.656259600475102+0.00586502249318323j),0.01
66,(-4.137967894636762+7.844502231754734e-05j),(1.0154568424646513+5.892235856230237e-05j),0.033643994461709306,3.1886129818279176,(-4.190120001954266+6.247569531438266e-05j),0.01
67,(-4.720053230525656-0.0065216197533223726j),(1.0053977211369223+6.664366235452476e-05j),0.013093882189429524,1.2916788937637242,(-4.728440786690805-0.006566111266426112j),0.01
68,(-4.340826085671845-0.008320192251379399j),(0.9963887840999702+1.814654087562525e-05j),0.022909592767700698,2.2604669630324423,(-4.366665595213338-0.008387342211936056j),0.01
69,(-2.7513359989612747-0.0002476762311508206j),(0.9840291610871221-7.960947385159176e-05j),0.010209024399206588,1.0337145199741673,(-2.7566912106804287-0.0002971882992248726j),0.01
70,(-2.0233178468126227+0.008614141968110821j),(0.9929790715139106-8.800433733432591e-05j),0.024143378535062803,2.384765073140232,(-2.0521224856855698+0.008565469497755497j),0.01
71,(-3.3172858422906097+0.009545222538830335j),(1.0130005671666023-9.197166335264796e-06j),0.023569289497461506,2.2910372453497567,(-3.3438010052518017+0.009473382744115948j),0.01
72,(-5.357815403046006+0.001470459570383208j),(1.0206621364730042+8.209162570912284e-05j),0.025803329906431693,2.479662085282744,(-5.388958337914662+0.00143040528873754j),0.01
73,(-5.843977715635486-0.005497148741206929j),(1.004726074762014+6.971128234450004e-05j),0.01843833346314718,1.8053876778596327,(-5.860452771946608-0.005507931834557258j),0.01
74,(-3.532195378001404-0.0035377414559600896j),(0.9770885964650771-1.9071282842876613e-05j),0.014278894059500707,1.439234249599178,(-3.5426579013852892-0.0035560839765993346j),0.01
75,(-0.7367559102489263+0.0037821289317216187j),(0.9724131395893262-7.126364209318575e-05j),0.012727877013842932,1.2956026859970442,(-0.7452057603062836+0.0037724515053155377j),0.01
76,(0.017983893393344025+0.006694549649490936j),(0.9924281370823342-2.897066540523392e-05j),0.007856758622521798,0.7895590539570879,(0.014861697547298824+0.006691621600812464j),0.01
77,(-1.8953694801708427+0.002327535080225611j),(1.0193089732023528+4.4451514368283574e-05j),0.006862373495994922,0.6722027950833869,(-1.8976304427588966+0.002330675557097022j),0.01
78,(-4.197550596879724-0.00367708735050641j),(1.0232859915872508+6.151492879167749e-05j),0.0064508933777246025,0.6291627707242528,(-4.199531580277525-0.003680833368394901j),0.01
79,(-5.03635568931398+0.001042660430228422j),(1.0084961127001435-4.78252582932279e-05j),0.01381544344489271,1.3496662231806873,(-5.045554079561771+0.0010614018921188614j),0.01
80,(-3.6127081181125984+0.010464105618321486j),(0.9860409018483008-9.306985553172677e-05j),0.023419732723505716,2.305042113835789,(-3.6398102614996626+0.01050014374155781j),0.01
81,(-1.4547996542355734+0.00904300515377911j),(0.9785170476365934+1.400785150220886e-05j),0.016088041744565566,1.6247545505704364,(-1.4681032633889335+0.00906860491092782j),0.01
82,(-3.346947472183526-0.0021407615103179304j),(1.0210014253812008+0.00011495403165125005j),0.0674223066486602,6.179446140224567,(-3.546497421749979-0.0021903442254650757j),0.01
83,(-5.8392157019469675-0.008459953315151583j),(1.0232925922941802+6.450210324006427e-05j),0.01437444482660878,1.4006986611488703,(-5.849043625223103-0.008493732292608715j),0.01
84,(-5.656485757764592-0.004677075436419347j),(0.9982622738336184-3.8548949635521746e-05j),0.019467727006875327,1.9208078647436682,(-5.675119923391907-0.004632126918269451j),0.01
85,(-4.462026971689073+0.006469347445929566j),(0.9884664710031764-0.0001094447828473142j),0.03264229895476827,3.234477197549454,(-4.5150649350763565+0.00644005262556488j),0.01
86,(-1.8937961389550217+0.014593856422661337j),(0.9741819729708269-7.922929898516313e-05j),0.010280406887484909,1.0531842048051288,(-1.8993490433243285+0.014572958079446707j),0.01
87,(-1.126091672154639+0.011295135341190147j),(0.992405717993837+3.222855632316434e-05j),0.014755996616166677,1.4745652885821374,(-1.1370225562862633+0.011325439879230667j),0.01
88,(-1.9517647841651753-0.0003054424248146331j),(1.008199637572361+0.0001171247912877839j),0.0062005619538300066,0.6122119211547641,(-1.9536435497280187-0.00029178218632207494j),0.01
89,(-3.318033815583055-0.012854692655318498j),(1.0137480874207412+0.00012749460914707948j),0.004661027896340579,0.4595323774215953,(-3.3190883213489193-0.012868339425435417j),0.01
90,(-3.9860387211478745-0.02204568222295329j),(1.0066997485398272+9.277269058582037e-05j),0.004008682563965572,0.39832494518071676,(-3.986829242639325-0.02208386674207139j),0.01
91,(-2.9438576870714623-0.014461136603008413j),(0.9896337853539765-7.498403818217038e-05j),0.004301968008200075,0.4336217510148706,(-2.944797722455576-0.014506918668107348j),0.01
92,(-1.2780490377717806+0.004650915850939391j),(0.9834906678030381-0.0001878411315623651j),0.0063013238624851356,0.6375756117031717,(-1.2800865504401555+0.004592513123949964j),0.01
93,(-0.5788070239853279+0.015078763230599871j),(0.9930281978210209-0.0001037155644022431j),0.005735817183360988,0.5753619269792263,(-0.5804652215708515+0.01503688562542545j),0.01
94,(-1.3523508832046984+0.004079271780271804j),(1.0077545499328553+0.00011058194961142509j),0.0034345492896112775,0.3404256420428962,(-1.3529296183158686+0.0040637821871966125j),0.01
95,(-2.8600217461746604-0.0134036845781073j),(1.015197853051146+0.00017726820334897715j),0.00510853262755955,0.5019453026482388,(-2.8612834040228634-0.013397661512133055j),0.01
96,(-4.02835648673858-0.0208785823118318j),(1.0117675232595855+7.548793897147989e-05j),0.0075988869710836545,0.748950417195905,(-4.0311661199898285-0.020858657946196364j),0.01
97,(-3.920191936932685-0.008542605224237389j),(0.9989416142017694-0.00012335897012049314j),0.010121580247554813,1.005469410434982,(-3.9252722540759617-0.00850969102564175j),0.01
98,(-2.559666339137876+0.013591631369193205j),(0.9864625142900642-0.00021843292598084635j),0.007139345751191961,0.7226189959019765,(-2.5622794122783468+0.013633362485927088j),0.01
99,(-0.9239101593624925+0.019507903214712692j),(0.9837792100670942-5.797760118846751e-05j),0.007648292686299401,0.7715372513944324,(-0.9269008739404563+0.019526717471279088j),0.01
100,(-1.3047348709672448+0.005171405495764906j),(1.0039552464423716+0.0001437625532839045j),0.018639712201010808,1.8304826640354135,(-1.3216464011406106+0.005207099857772977j),0.01
101,(-3.2546041032765225-0.012597059322845891j),(1.0196484959104866+0.00018109735186491046j),0.01650000888882381,1.5947688732010452,(-3.2674435835046785-0.01255366286458013j),0.01
102,(-4.402681302616691-0.02222343908902117j),(1.0115068916855339+9.688970030249556e-05j),0.013566319132002878,1.3287888532274295,(-4.411563135733367-0.02213241124509919j),0.01
103,(-4.389451448118364-0.008100692960026117j),(1.0000214433915149-0.00014076829483868197j),0.022373516702451544,2.1855665525833223,(-4.413708442637386-0.008055883702699069j),0.01
104,(-2.820077151726041+0.01231515913311057j),(0.9843495439258751-0.0002016122841602098j),0.017910154627846023,1.7914120251463257,(-2.8362887960222287+0.012425893587194061j),0.01
105,(-1.4417349836947755+0.012031489544173796j),(0.9863107571108657+3.4670489336883425e-06j),0.01788134571663922,1.79140903541239,(-1.4579083415066787+0.012074376693691869j),0.01
106,(-0.6454938910331169-0.011913216546784774j),(0.9919129918188226+0.00023802243167940168j),0.002903400934330612,0.29303411687218905,(-0.6459226802133371-0.011921924299838765j),0.01
107,(-1.1321471079110215-0.034562731342021834j),(1.0048833290576882+0.00022761732806104008j),0.0043187990466616154,0.4295893202183214,(-1.133069673794862-0.03457304384639075j),0.01
108,(-2.6043040501674417-0.032443708803091706j),(1.0148265201649675-2.139802907294883e-05j),0.0033188876086810213,0.32691564138677176,(-2.6048378752548422-0.032464503258951304j),0.01
109,(-3.5966796413010216-0.00784100662192193j),(1.0099771614690836-0.00024840843416590975j),0.004368941596369207,0.43190630685199816,(-3.597612719001279-0.007869053120698622j),0.01
110,(-2.9694508245661013+0.018851611715709107j),(0.9937504288672028-0.0002651825786298329j),0.004970259146029326,0.49934784356355466,(-2.9706981345339356+0.018815974088562764j),0.01
111,(-1.0763513305400376+0.02398674259528735j),(0.98123769144487-5.068891944188819e-05j),0.002373129015634486,0.24161018161023828,(-1.0766428964978125+0.02398178863469582j),0.01
112,(0.19996732633316003+0.004086133936816567j),(0.9873163142273772+0.00019639947693089364j),0.0016001506952749032,0.1620364541708741,(0.19983616679522287+0.004089534094765028j),0.01
113,(-0.5094194513769259-0.02149215381944851j),(1.0071197747258491+0.0002576198785531907j),0.0020277687001549224,0.20140640332195683,(-0.5096219842824615-0.02149033032646288j),0.01
114,(-2.3671906086854415-0.02748185604162407j),(1.0187519359130626+6.106228556054359e-05j),0.002326795996832987,0.2281689684634656,(-2.367450749301666-0.027484162910711367j),0.01
115,(-3.6034834099280597-0.0072985291885540905j),(1.0124418961591655-0.00020438111199865303j),0.003149864347577611,0.3105668218802815,(-3.603965971108054-0.007297215887110697j),0.01
116,(-2.9371521997493115+0.01780379136654632j),(0.9933616677534767-0.00024929871841687694j),0.0039054399133020773,0.39238753599960485,(-2.937922722914342+0.01779925413742641j),0.01
117,(-1.1366319670899794+0.025710105064689983j),(0.9821541261924902-7.767101317936447e-05j),0.0033693700127278127,0.3429578669971,(-1.1372198729090064+0.02570748472426441j),0.01
118,(0.0674408551043206+0.010283548009463291j),(0.9880369498640248+0.00015259241386587533j),0.00473317483391645,0.47794529713572476,(0.0662972630838059+0.010263486129507535j),0.01
119,(-0.24128747204774528-0.011350533541579257j),(1.0030818210962447+0.00021682521508193113j),0.0015937889182947372,0.15877750426182924,(-0.24141327512998534-0.011352418689496602j),0.01
120,(-1.8141744618592626-0.01625686010127065j),(1.0158533205842712+4.982923933829145e-05j),0.0016774232856330404,0.16510708843171243,(-1.814310318467023-0.0162575795319761j),0.01
121,(-3.0536658518711888-0.0039748131080591265j),(1.0124716727759642-0.00012442180127672322j),0.001431646034477778,0.14132217990964788,(-3.053765283750277-0.003968662815001843j),0.01
122,(-2.6983519651153625+0.012489341106066879j),(0.9964532672491251-0.00016402048133262859j),0.001488769857185668,0.14924312516374355,(-2.6984629065817405+0.012491765911784263j),0.01
123,(-1.0817413381589114+0.013268022186896797j),(0.9839652576785094-7.662101532694011e-06j),0.002215619505816888,0.22487879887192003,(-1.08199393056498+0.013270462260333855j),0.01
