step,r_s,elocal,weight,weightvar,elocalvar,eref,tau,popstep
39,8,-0.35990359341850814,1.0001252164597774,0.008271512461370957,0.09506579437303686,-0.3606437571501692,0.01,10
40,8,-0.35988062086919453,1.0001258844360612,0.0,0.0953578824800554,-0.3607105463931391,0.01,10
41,8,-0.3572550814417492,1.0000920919603766,0.0009930331642540376,0.09957457256751748,-0.35733166708232605,0.01,10
42,8,-0.3570960241497623,1.0000920136106672,0.0019844064209909584,0.10007312692875735,-0.3573238328325478,0.01,10
43,8,-0.3571507740626095,1.0000924935309634,0.002977783527893238,0.1010629421991052,-0.3573718204351384,0.01,10
44,8,-0.35681513505826784,1.0000921328687422,0.0039802941183106596,0.1029691423802759,-0.3573357575421031,0.01,10
45,8,-0.3567233017996935,1.000091084539234,0.004993470956413072,0.10477112881601017,-0.3572309341940068,0.01,10
46,8,-0.3565991634287202,1.000091166349411,0.006021343066157709,0.10850085755545606,-0.3572391144662871,0.01,10
47,8,-0.35619026096634615,1.0000896765447258,0.007057759940307876,0.10759303341850356,-0.35709014746758383,0.01,10
48,8,-0.35578041685089457,1.0000868478232596,0.008107894322771134,0.11361754538074521,-0.35680730028567553,0.01,10
49,8,-0.3560759727199686,1.0000875329027548,0.009163836223027357,0.11078752170357066,-0.3568758022624851,0.01,10
50,8,-0.35578263527676385,1.0000886972194007,2.220446049250313e-16,0.1129841885843752,-0.35699222366862116,0.01,10
51,8,-0.35434920376439744,1.000063729072572,0.0011169750953853993,0.11277000781000915,-0.3544955992612171,0.01,10
52,8,-0.3543662078667286,1.0000642507679083,0.002237285839592928,0.11417884545545168,-0.3545477654567407,0.01,10
53,8,-0.3550671819522759,1.0000689793973907,0.0033134828501178294,0.10595005753798231,-0.3550205969072789,0.01,10
54,8,-0.35502326279981344,1.0000732805976076,0.004349538637292617,0.10711982166407982,-0.3554506863367016,0.01,10
