step,elocal,weight,weightvar,elocalvar,eref,tau
19,1.4638237580849013e-10,0.9999999999984789,8.458665778254786e-13,8.458686902594616e-11,1.4513261822525686e-10,0.01
20,1.5043676666875982e-10,0.999999999998426,9.888893349558227e-13,9.888943579870015e-11,1.4670658140726919e-10,0.01
21,1.597374464370738e-10,0.9999999999982957,1.305311951719914e-12,1.305318139986455e-10,1.484108847723727e-10,0.01
22,2.1265528877433394e-10,0.9999999999976532,3.0238973462631592e-12,3.0238971564839317e-10,1.5075767420182813e-10,0.01
23,1.8182433583208608e-10,0.9999999999973426,1.5875457737285764e-12,1.5875467394443703e-10,1.5341510403357445e-10,0.01
24,1.7483558691840593e-10,0.9999999999971284,1.823348810152559e-12,1.823349171102374e-10,1.5628669588677153e-10,0.01
25,1.6735694003426562e-10,0.9999999999970177,1.4682899148890967e-12,1.4682892921685545e-10,1.5926897697552407e-10,0.01
26,1.7199853686196044e-10,0.9999999999968904,1.5454187800913332e-12,1.5454180279347947e-10,1.623786006452015e-10,0.01
27,1.633152642177697e-10,0.9999999999968812,1.1859790592318096e-12,1.1859810191346363e-10,1.6549743916598335e-10,0.01
28,1.5751877974803508e-10,0.9999999999969609,1.1084955735100704e-12,1.1084963561299566e-10,1.6853656367359688e-10,0.01
29,1.3324043963878565e-10,0.999999999997314,6.329854981793445e-13,6.329864040166079e-11,1.7122252623707614e-10,0.01
30,1.2742754975384298e-10,0.9999999999977518,6.695109934896327e-13,6.69506156049805e-11,1.7347072786194462e-10,0.01
31,1.1277281599210272e-10,0.9999999999983588,5.644364103426743e-13,5.64440541452772e-11,1.7511197055924933e-10,0.01
32,1.1460471415969052e-10,0.999999999998964,5.416432935303398e-13,5.416402171081081e-11,1.761479196635276e-10,0.01
33,1.205750341393188e-10,0.9999999999995197,5.61547285857908e-13,5.6158208469924e-11,1.7662820214398055e-10,0.01
34,1.2721354035434638e-10,1.000000000000014,6.113594942729478e-13,6.113469908682848e-11,1.7661421333387028e-10,0.01
35,1.3171677298670444e-10,1.0000000000004627,6.851611905809679e-13,6.851530250730651e-11,1.7615147237720662e-10,0.01
36,1.36949412442798e-10,1.0000000000008549,6.581417922997767e-13,6.581326928384098e-11,1.752966006482456e-10,0.01
37,1.2999336836225738e-10,1.0000000000013078,5.766049154237721e-13,5.76583302319819e-11,1.7398875792523803e-10,0.01
38,1.362428870870347e-10,1.0000000000016853,5.787799206522063e-13,5.787581981327771e-11,1.7230343937385846e-10,0.01
39,1.408568262335852e-10,1.000000000002,5.878449750200605e-13,5.878217403315629e-11,1.703034836173007e-10,0.01
40,1.3983742389617463e-10,1.0000000000023046,6.04175948475607e-13,6.041482490045762e-11,1.6799888266278646e-10,0.01
41,1.4309696123199562e-10,1.0000000000025535,6.401468713724291e-13,6.401296094956223e-11,1.6544536970615185e-10,0.01
42,1.516768235328202e-10,1.0000000000026912,7.440679426336971e-13,7.440465096967755e-11,1.627541890944641e-10,0.01
43,1.5123097860381076e-10,1.0000000000028062,8.275874782434302e-13,8.275763822787568e-11,1.5994798937742548e-10,0.01
44,1.5698861195138672e-10,1.000000000002836,8.647649769188642e-13,8.647502239215576e-11,1.57112035683327e-10,0.01
45,1.5533285026183712e-10,1.0000000000028537,7.926471937593623e-13,7.926317206781952e-11,1.542583184208346e-10,0.01
46,1.8388666805234747e-10,1.0000000000025573,1.3364125935696714e-12,1.336409380931332e-10,1.517010307059163e-10,0.01
47,1.8224994875498138e-10,1.0000000000022518,1.3809401592052383e-12,1.3809383387813268e-10,1.4944927636737408e-10,0.01
48,1.8767202603431556e-10,1.0000000000018696,1.8237307320299378e-12,1.8237240843212534e-10,1.4757966079390707e-10,0.01
49,1.858754425649266e-10,1.0000000000014868,1.129902340801358e-12,1.1298998569616969e-10,1.4609285011933017e-10,0.01
50,2.024056695713147e-10,1.0000000000009235,1.4032683246637904e-12,1.403263600376866e-10,1.4516936660744738e-10,0.01
51,2.0604728846770127e-10,1.0000000000003149,1.1972478596920065e-12,1.1972519491730033e-10,1.4485450735766374e-10,0.01
